C:\Users\pindus\Desktop\SITLess_Data\EXP2\COG\PRE\FC\SL003\SL003_FCS7BA.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,DataFile.Basename,Day,ExperimentVersion,Group,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,ThankYou.DEVICE,Timing,Welcome.DEVICE,Welcome.DurationError,Welcome.OnsetDelay,Welcome.OnsetTime,Welcome.OnsetToOnsetTime,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,Condition,CongAcc,CongRT,CorrectAnswer,InconAcc,InconRT,ITI,OverallACC,OverallRT,Procedure[Trial],Running[Trial],Stimulus,Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,1,222,,,1,1,951,1500,1,951,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,2,34,108368,160,1,951,109319,11,1,1,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,2,212,,,4,1,722,1500,1,722,TrialProc,TrialList,flankerIR.jpg,1,4,Keyboard,2,7,110035,160,4,493,110528,8,1,2,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,3,223,,,1,1,643.6666667,1698,1,643.6666667,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,3,6,111701,160,1,487,112188,12,1,3,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,4,221,,,1,1,607.5,1302,1,607.5,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,3,10,113569,160,1,499,114068,10,1,4,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,5,222,,,1,1,573,1500,1,573,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,2,4,115035,159,1,435,115470,11,1,5,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,6,121,1,290,1,,,1302,1,525.8333333,TrialProc,TrialList,flankerCL.jpg,1,1,Keyboard,3,7,116701,160,1,290,116991,4,1,6,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,7,113,1,318.5,4,,,1698,1,500.2857143,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,2,4,118167,159,4,347,118514,3,1,7,Cong
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,8,221,,,1,1,541.8333333,1302,1,486,TrialProc,TrialList,flankerIL.jpg,1,1,Keyboard,2,11,120035,159,1,386,120421,10,1,8,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,9,211,,,4,0.857142857,,1302,0.888888889,,TrialProc,TrialList,flankerIR.jpg,0,4,Keyboard,2,4,121500,159,1,315,121815,7,1,9,Incon
FC,3,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18767971448885</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-08-28T13:15:59Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",S,SL003_FCS7BA,7,1.0.0.262,1,143.848,-1032628881,Full,3.0.3.80,3.0.3.80,8/28/21,8/28/21 13:15,8:15:59,3.0.3.82,Keyboard,B,Keyboard,-999999,16,18969,0,1,1,1,1,BlockProc,BlockList,10,122,1,327.6666667,1,,,1500,0.9,470.4444444,TrialProc,TrialList,flankerCL.jpg,1,1,Keyboard,2,4,122965,160,1,346,123311,5,1,10,Cong
