C:\Users\pindus\Desktop\SITLess_Data\EXP1\COG\PRE\FC\SL001\SL001_FCN6BA.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,BlockID,Clock.Information,CogSeq,DataFile.Basename,Day,ExperimentVersion,Group,Participant.RefreshRate,RandomSeed,RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,ThankYou.DEVICE,Timing,Welcome.DEVICE,Welcome.DurationError,Welcome.OnsetDelay,Welcome.OnsetTime,Welcome.OnsetToOnsetTime,Block,BlockList,BlockList.Cycle,BlockList.Sample,Procedure[Block],Running[Block],Trial,Condition,CongAcc,CongRT,CorrectAnswer,InconAcc,InconRT,ITI,OverallACC,OverallRT,Procedure[Trial],Running[Trial],Stimulus,Stimulus.ACC,Stimulus.CRESP,Stimulus.DEVICE,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,Stimulus.RTTime,TrialList,TrialList.Cycle,TrialList.Sample,TrialType
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,1,211,,,4,1,574,1302,1,574,TrialProc,TrialList,flankerIR.jpg,1,4,Keyboard,2,37,36676,166,4,574,37250,7,1,1,Incon
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,2,212,,,4,1,472,1500,1,472,TrialProc,TrialList,flankerIR.jpg,1,4,Keyboard,2,18,38162,166,4,370,38532,8,1,2,Incon
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,3,213,,,4,1,413.3333333,1698,1,413.3333333,TrialProc,TrialList,flankerIR.jpg,1,4,Keyboard,2,14,39842,167,4,296,40138,9,1,3,Incon
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,4,213,,,4,1,407.75,1698,1,407.75,TrialProc,TrialList,flankerIR.jpg,1,4,Keyboard,2,17,41724,167,4,391,42115,9,1,4,Incon
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,5,112,1,296,4,,,1500,1,385.4,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,2,17,43606,160,4,296,43902,2,1,5,Cong
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,6,113,1,293.5,4,,,1698,1,369.6666667,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,3,13,45279,160,4,291,45570,3,1,6,Cong
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,7,111,1,277.3333333,4,,,1302,1,351.8571429,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,3,17,47154,160,4,245,47399,1,1,7,Cong
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,8,112,1,280.5,4,,,1500,1,344.125,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,3,17,48633,167,4,290,48923,2,1,8,Cong
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,9,111,1,276.6,4,,,1302,1,334.8888889,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,2,14,50314,160,4,261,50575,1,1,9,Cong
FC,1,1,A,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">5097887421377</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2021-07-01T13:38:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",N,SL001_FCN6BA,6,1.0.0.262,1,144.03,-236085274,Full,3.0.3.80,3.0.3.80,7/1/21,7/1/21 13:38,8:38:28,3.0.3.82,Keyboard,B,Keyboard,-999999,33,13593,0,1,1,1,1,BlockProc,BlockList,10,112,1,279.8333333,4,,,1500,1,331,TrialProc,TrialList,flankerCR.jpg,1,4,Keyboard,2,17,51793,160,4,296,52089,2,1,10,Cong
